"place_of_work","city","state"
"Umami Burger Restaurant Group","Los Angeles","CA"
"Union Theological Seminary","New York","NY"
"United Nations","New York","NY"
"Upper Brookville","NY","Episode 12.1 - ""Sunny Side Apps"""""""
"Upstairs 2","Los Angeles","CA"
"Upstairs on the Square","Cambridge","MA"
"Urban Cowboy","Austin","TX"
"USCGC Sturgeon Bay","WTGB-109","Bayonne"
"Valbella","New York","NY"
"Vanderbilt","Brooklyn","NY"
"Vedge","Philadelphia","PA"
"Veni Vidi Vici","Atlanta","GA"
"Venue 56","Hauppauge","NY"
"Vetri Foundation for Children","Philadelphia","PA"
"Vibano's Trattoria","Bronx","NY"
"Vizzi Truck / Temecula Creek Inn","Los Angeles","CA / Temecula"
"W Hotel","Hoboken","NJ"
"W.O.W.","Worth Our Weight","Santa Rosa"
"Waldorf-Astoria Hotel","New York","NY"
"Washington D.C","Executive Chef","Washington D.C"
"Washington D.C.","",""
"Washington D.C.","Pastry Chef","Washington D.C."
"Water's Edge","Long Island City","NY"
"wd~50","New York","NY"
"What a Dish Cafe","Dana Point","CA"
"White Cloud Catering","New York","NY"
"Wickets Inn","Onset","MA"
"Wild Horse Saloon","Nashville","TN"
"William C. Hinkley High School","Aurora","CO"
"Winning Diabetics","New York","NY"
"Womack Restaurant","Los Angeles","CA"
"Wood & Vine","Hollywood","CA"
"World Yacht","New York","NY"
"X2O Xaviars on the Hudson","Yonkers","NY"
"Yellowtail Japanese Restaurant & Lounge","Las Vegas","NV"
"Yo In Yo Out","New York","NY"
"Your Safe Kitchen","New York","NY"
"Zanaro's Italian Restaurant","White Plains","NY"
"Zoe","New York","NY"
